lift_cut	dfneg_cut	dict_size	recall	specificity	survivor_rate	precision	f1
2.0	80	702	0.9205	0.2341	0.7942	0.212	0.3447
2.0	120	702	0.9205	0.2341	0.7942	0.212	0.3447
2.0	60	696	0.9091	0.2468	0.7817	0.2128	0.3448
3.0	80	698	0.9091	0.2468	0.7817	0.2128	0.3448
2.5	80	699	0.9091	0.2443	0.7838	0.2122	0.3441
2.5	120	700	0.9091	0.2392	0.7879	0.2111	0.3426
3.0	120	700	0.9091	0.2392	0.7879	0.2111	0.3426
2.0	40	685	0.8977	0.2748	0.7568	0.217	0.3496
3.0	60	687	0.8864	0.2824	0.7484	0.2167	0.3482
2.5	60	690	0.8864	0.2672	0.7609	0.2131	0.3436
2.5	40	671	0.8523	0.3104	0.7193	0.2168	0.3456
3.0	40	665	0.8409	0.3333	0.6985	0.2202	0.3491
