clusterer	embedder	extra	metric	value
kmeans	all-MiniLM-L6-v2	k=4	n_clusters	4.0
kmeans	all-MiniLM-L6-v2	k=4	n_noise	0.0
kmeans	all-MiniLM-L6-v2	k=4	silhouette	0.05876943841576576
kmeans	all-MiniLM-L6-v2	k=4	davies_bouldin	4.067761830385216
kmeans	all-MiniLM-L6-v2	k=4	calinski_harabasz	5.096477885092769
kmeans	all-MiniLM-L6-v2	k=4	npmi	0.3757340384749709
kmeans	all-MiniLM-L6-v2	k=4	bootstrap_mean_ari	0.2946938771939882
kmeans	all-MiniLM-L6-v2	k=4	bootstrap_std_ari	0.08731540115606487
kmeans	all-MiniLM-L6-v2	k=4	bootstrap_n_runs	10.0
agglomerative	all-MiniLM-L6-v2	k=4	n_clusters	4.0
agglomerative	all-MiniLM-L6-v2	k=4	n_noise	0.0
agglomerative	all-MiniLM-L6-v2	k=4	silhouette	0.04405565932393074
agglomerative	all-MiniLM-L6-v2	k=4	davies_bouldin	3.059047536121198
agglomerative	all-MiniLM-L6-v2	k=4	calinski_harabasz	3.017154453307473
agglomerative	all-MiniLM-L6-v2	k=4	npmi	0.596419105580502
agglomerative	all-MiniLM-L6-v2	k=4	bootstrap_mean_ari	0.24028401300528873
agglomerative	all-MiniLM-L6-v2	k=4	bootstrap_std_ari	0.08932608111868005
agglomerative	all-MiniLM-L6-v2	k=4	bootstrap_n_runs	10.0
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	n_clusters	0.0
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	n_noise	161.0
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	silhouette	
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	davies_bouldin	
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	calinski_harabasz	
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	npmi	
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	bootstrap_mean_ari	0.2
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	bootstrap_std_ari	0.4000000000000001
hdbscan	all-MiniLM-L6-v2	min_cluster_size=5	bootstrap_n_runs	10.0
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	n_clusters	7.0
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	n_noise	76.0
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	silhouette	0.12372060865163803
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	davies_bouldin	2.646418578296457
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	calinski_harabasz	3.8997029064914397
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	npmi	0.5176457079657941
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	bootstrap_mean_ari	0.115454624329465
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	bootstrap_std_ari	0.05930803283315082
hdbscan_umap	all-MiniLM-L6-v2	umap_dim=10 min_cluster_size=5	bootstrap_n_runs	10.0
bertopic	all-MiniLM-L6-v2		n_clusters	0.0
bertopic	all-MiniLM-L6-v2		n_noise	161.0
bertopic	all-MiniLM-L6-v2		silhouette	
